singer_id,song_id
377,565
56,566
378,567
14,568
187,569
180,570
379,571
380,572
208,573
381,574
94,575
345,576
138,577
382,578
382,579
208,580
208,581
383,582
180,583
180,584
305,585
384,586
262,587
176,588
58,589
372,590
54,591
39,592
385,593
386,594
112,595
387,596
2,597
5,598
388,599
290,600
389,601
390,602
391,603
200,604
392,605
393,606
311,607
85,608
394,609
395,610
396,611
208,612
273,613
287,614
305,615
397,616
398,617
399,618
400,619
401,620
400,621
73,622
176,623
81,624
284,625
402,626
403,627
404,628
196,629
405,630
221,631
335,632
406,633
200,634
407,635
408,636
409,637
410,638
323,639
151,640
411,641
412,642
372,643
413,644
329,645
329,646
246,647
414,648
56,649
415,650
416,651
417,652
418,653
419,654
400,655
352,656
420,657
329,658
421,659
179,660
422,661
423,662
313,663
424,664
273,665
424,666
152,667
425,668
425,669
329,670
329,671
426,672
368,673
39,674
427,675
428,676
429,677
293,678
400,679
69,680
39,681
430,682
336,683
431,684
415,685
355,686
84,687
425,688
58,689
25,690
406,691
223,692
329,693
432,694
329,695
432,696
433,697
434,698
435,699
4,700
436,701
437,702
438,703
313,704
439,705
400,706
440,707
375,708
375,709
3,710
54,711
78,712
226,713
441,714
54,715
179,716
442,717
443,718
20,719
444,720
349,721
165,722
445,723
446,724
447,725
448,726
139,727
53,728
90,729
449,730
143,731
245,732
30,733
55,734
450,735
451,736
452,737
90,738
453,739
73,740
313,741
305,742
392,743
200,744
51,745
454,746
455,747
72,748
109,749
218,750
49,751
256,752
456,753
113,754
73,755
457,756
161,757
124,758
458,759
283,760
459,761
460,762
461,763
462,764
463,765
464,766
73,767
465,768
466,769
467,770
468,771
123,772
469,773
54,774
470,775
246,776
471,777
305,778
305,779
209,780
472,781
329,782
209,783
473,784
474,785
475,786
420,787
476,788
208,789
476,790
208,791
94,792
94,793
477,794
478,795
208,796
58,797
438,798
407,799
479,800
480,801
481,802
143,803
277,804
482,805
192,806
101,807
483,808
484,809
380,810
20,811
81,812
178,813
143,814
485,815
486,816
487,817
488,818
100,819
83,820
23,821
102,822
7,823
489,824
24,825
490,826
24,827
83,828
80,829
23,830
491,831
491,832
7,833
492,834
493,835
180,836
394,837
125,838
494,839
495,840
85,841
73,842
178,843
496,844
422,845
497,846
176,847
72,848
24,849
20,850
230,851
396,852
102,853
498,854
499,855
500,856
501,857
502,858
503,859
198,860
504,861
505,862
113,863
506,864
23,865
73,866
443,867
494,868
273,869
507,870
73,871
508,872
73,873
124,874
73,875
102,876
509,877
510,878
511,879
512,880
513,881
512,882
514,883
515,884
516,885
517,886
518,887
407,888
407,889
129,890
519,891
519,892
520,893
521,894
522,895
523,896
112,897
524,898
525,899
526,900
527,901
339,902
73,903
528,904
529,905
106,906
530,907
88,908
460,909
531,910
70,911
532,912
102,913
499,914
216,915
496,916
533,917
534,918
398,919
535,920
536,921
537,922
538,923
102,924
278,925
218,926
23,927
23,928
90,929
102,930
102,931
23,932
432,933
539,934
540,935
58,936
432,937
541,938
542,939
543,940
218,941
176,942
544,943
70,944
545,945
363,946
546,947
352,948
547,949
548,950
141,951
549,952
396,953
550,954
551,955
552,956
112,957
553,958
134,959
102,960
83,961
23,962
73,963
554,964
555,965
90,966
55,967
135,968
145,969
492,970
523,971
556,972
23,973
557,974
558,975
209,976
30,977
559,978
560,979
561,980
1,981
70,982
313,983
562,984
512,985
563,986
564,987
565,988
83,989
566,990
112,991
82,992
567,993
123,994
277,995
568,996
51,997
106,998
100,999
135,1000
88,1001
78,1002
80,1003
492,1004
569,1005
106,1006
570,1007
499,1008
571,1009
572,1010
406,1011
533,1012
349,1013
453,1014
554,1015
573,1016
574,1017
575,1018
278,1019
576,1020
196,1021
571,1022
112,1023
18,1024
577,1025
112,1026
90,1027
578,1028
579,1029
580,1030
79,1031
581,1032
100,1033
582,1034
583,1035
102,1036
584,1037
585,1038
23,1039
123,1040
533,1041
586,1042
200,1043
73,1044
200,1045
73,1046
390,1047
587,1048
576,1049
90,1050
73,1051
501,1052
72,1053
231,1054
588,1055
583,1056
589,1057
148,1058
590,1059
90,1060
591,1061
145,1062
176,1063
592,1064
577,1065
590,1066
73,1067
593,1068
594,1069
143,1070
30,1071
73,1072
73,1073
554,1074
124,1075
72,1076
90,1077
7,1078
83,1079
143,1080
100,1081
595,1082
596,1083
73,1084
597,1085
276,1086
598,1087
200,1088
599,1089
187,1090
600,1091
601,1092
112,1093
602,1094
603,1095
604,1096
605,1097
606,1098
607,1099
608,1100
371,1101
609,1102
610,1103
432,1104
611,1105
143,1106
466,1107
81,1108
144,1109
612,1110
485,1111
528,1112
613,1113
81,1114
132,1115
34,1116
614,1117
259,1118
230,1119
81,1120
519,1121
615,1122
616,1123
81,1124
24,1125
617,1126
259,1127
612,1128
618,1129
568,1130
145,1131
24,1132
143,1133
519,1134
359,1135
24,1136
619,1137
528,1138
613,1139
259,1140
34,1141
617,1142
615,1143
620,1144
24,1145
621,1146
24,1147
81,1148
81,1149
81,1150
81,1151
81,1152
81,1153
143,1154
232,1155
440,1156
102,1157
622,1158
17,1159
623,1160
73,1161
359,1162
73,1163
432,1164
432,1165
624,1166
144,1167
625,1168
43,1169
460,1170
123,1171
626,1172
627,1173
34,1174
386,1175
628,1176
623,1177
14,1178
328,1179
629,1180
630,1181
555,1182
224,1183
90,1184
143,1185
631,1186
632,1187
633,1188
144,1189
615,1190
24,1191
634,1192
24,1193
432,1194
635,1195
636,1196
200,1197
637,1198
247,1199
271,1200
638,1201
583,1202
140,1203
144,1204
618,1205
328,1206
639,1207
246,1208
623,1209
438,1210
356,1211
23,1212
246,1213
279,1214
56,1215
519,1216
24,1217
24,1218
30,1219
166,1220
640,1221
641,1222
37,1223
642,1224
643,1225
23,1226
23,1227
644,1228
444,1229
102,1230
453,1231
200,1232
645,1233
124,1234
302,1235
406,1236
646,1237
647,1238
648,1239
444,1240
649,1241
650,1242
278,1243
651,1244
652,1245
653,1246
654,1247
345,1248
615,1249
655,1250
246,1251
180,1252
422,1253
656,1254
657,1255
658,1256
659,1257
617,1258
144,1259
618,1260
615,1261
246,1262
17,1263
145,1264
20,1265
88,1266
660,1267
18,1268
661,1269
559,1270
662,1271
663,1272
210,1273
664,1274
665,1275
666,1276
667,1277
406,1278
637,1279
667,1280
520,1281
290,1282
176,1283
668,1284
443,1285
642,1286
352,1287
246,1288
47,1289
669,1290
406,1291
656,1292
670,1293
453,1294
671,1295
151,1296
672,1297
34,1298
673,1299
73,1300
674,1301
394,1302
34,1303
100,1304
43,1305
675,1306
656,1307
121,1308
144,1309
676,1310
100,1311
677,1312
597,1313
678,1314
679,1315
680,1316
493,1317
100,1318
102,1319
23,1320
123,1321
681,1322
90,1323
54,1324
54,1325
78,1326
682,1327
683,1328
377,1329
684,1330
685,1331
210,1332
684,1333
58,1334
686,1335
687,1336
210,1337
688,1338
73,1339
689,1340
121,1341
25,1342
690,1343
691,1344
248,1345
6,1346
200,1347
37,1348
392,1349
135,1350
246,1351
692,1352
693,1353
694,1354
695,1355
693,1356
402,1357
73,1358
696,1359
152,1360
451,1361
112,1362
697,1363
371,1364
94,1365
79,1366
698,1367
699,1368
700,1369
96,1370
124,1371
200,1372
701,1373
112,1374
702,1375
703,1376
402,1377
402,1378
402,1379
6,1380
169,1381
704,1382
432,1383
17,1384
637,1385
705,1386
14,1387
706,1388
707,1389
17,1390
377,1391
49,1392
675,1393
144,1394
708,1395
487,1396
73,1397
71,1398
418,1399
643,1400
418,1401
58,1402
709,1403
271,1404
710,1405
27,1406
711,1407
620,1408
712,1409
2,1410
713,1411
176,1412
714,1413
679,1414
27,1415
692,1416
94,1417
178,1418
715,1419
73,1420
716,1421
636,1422
717,1423
718,1424
719,1425
533,1426
73,1427
720,1428
73,1429
352,1430
721,1431
722,1432
352,1433
723,1434
444,1435
112,1436
724,1437
725,1438
726,1439
218,1440
283,1441
727,1442
728,1443
729,1444
100,1445
730,1446
123,1447
731,1448
732,1449
221,1450
85,1451
733,1452
734,1453
735,1454
67,1455
736,1456
737,1457
604,1458
371,1459
738,1460
739,1461
740,1462
741,1463
742,1464
302,1465
743,1466
744,1467
745,1468
354,1469
746,1470
477,1471
200,1472
747,1473
748,1474
27,1475
749,1476
422,1477
750,1478
751,1479
752,1480
492,1481
461,1482
460,1483
583,1484
106,1485
106,1486
332,1487
753,1488
56,1489
