"wildcard","name","slug_name","description",cover_image_id
"klldl","Khang Le-Ly Dieu Linh","khang-le-ly-dieu-linh","NULL",0
"dt","Dan Truong","dan-truong","NULL",0
"kh","Khanh Hong","khanh-hong","NULL",0
"dn","Don Nguyen","don-nguyen","NULL",0
"lal","Luu Anh Loan","luu-anh-loan","NULL",0
"th","Trieu Hai","trieu-hai","NULL",0
"npt","Noo Phuoc Thinh","noo-phuoc-thinh","NULL",0
"qm","Quang Minh","quang-minh","NULL",0
"dttl","Dan Truong & Thanh Lam","dan-truong-thanh-lam","NULL",0
"kv","Khac Viet","khac-viet","NULL",0
"cvc","Chau Viet Cuong","chau-viet-cuong","NULL",0
"cgk","Chau Gia Kiet","chau-gia-kiet","NULL",0
"cgk","Chau Gia Kiet.OKF","chau-gia-kietokf","NULL",0
"vh","Vu Ha","vu-ha","NULL",0
"pkh","Pham Khanh Hung","pham-khanh-hung","NULL",0
"pdttt","Phan Dinh Tung-Toc Tien","phan-dinh-tung-toc-tien","NULL",0
"ctlh","Cao Trung-Long Hai","cao-trung-long-hai","NULL",0
"ttl","Thai Trieu Luan","thai-trieu-luan","NULL",0
"kn","KhaLy Nguyen","khaly-nguyen","NULL",0
"uhp","Ung Hoang Phuc","ung-hoang-phuc","NULL",0
"lmt","Luu Minh Tuan","luu-minh-tuan","NULL",0
"nkh","Ngo Kien Huy","ngo-kien-huy","NULL",0
"sl","Sy Luan","sy-luan","NULL",0
"ka","Khac Anh","khac-anh","NULL",0
"ntd","Nguyen Trieu Dang","nguyen-trieu-dang","NULL",0
"dvhmt","Dam Vinh Hung-My Tam","dam-vinh-hung-my-tam","NULL",0
"kd","Khang Duy","khang-duy","NULL",0
"x","XBand","xband","NULL",0
"dny","Da Nhat Yen","da-nhat-yen","NULL",0
"dt","Dai Trang","dai-trang","NULL",0
"hmtp","Huy MC-Thu Phuong","huy-mc-thu-phuong","NULL",0
"kl","Khanh Ly","khanh-ly","NULL",0
"knmt","Kiwi Ngo Mai Trang","kiwi-ngo-mai-trang","NULL",0
"lqh","Lam Quoc Hung","lam-quoc-hung","NULL",0
"m","m","m","NULL",0
"tk","Thien Kim","thien-kim","NULL",0
"tt","Thuy Tien","thuy-tien","NULL",0
"htl","Hoang Thuc Linh","hoang-thuc-linh","NULL",0
"hb","H2 Band","h2-band","NULL",0
"krlh","Kevin Rogers-Long Hai","kevin-rogers-long-hai","NULL",0
"htl","Hoang Thuy Linh","hoang-thuy-linh","NULL",0
"ny","Nhu Y","nhu-y","NULL",0
"clvql","Cam Ly-Van Quang Long","cam-ly-van-quang-long","NULL",0
"t6","Trio 666","trio-666","NULL",0
"nt","Nha Thanh","nha-thanh","NULL",0
"bytk","Bao Yen & Thien Kim","bao-yen-thien-kim","NULL",0
"gh","Gia Huy","gia-huy","NULL",0
"qd","Quang Dung","quang-dung","NULL",0
"xp","Xuan Phu","xuan-phu","NULL",0
"lth","Le Trong Hieu","le-trong-hieu","NULL",0
"j","J8687","j8687","NULL",0
"lch","Lam Chan Hai","lam-chan-hai","NULL",0
"cm","Canh Minh","canh-minh","NULL",0
"nkh","Nguyen Khanh Ha","nguyen-khanh-ha","NULL",0
"lh","Lam Hung","lam-hung","NULL",0
"lgb","Luu Gia Bao","luu-gia-bao","NULL",0
"lun","Le Uyen Nhi","le-uyen-nhi","NULL",0
"oct","Ong Cao Thang","ong-cao-thang","NULL",0
"tk","Tan Khanh","tan-khanh","NULL",0
"hnl","Hoang Nhat Linh","hoang-nhat-linh","NULL",0
"kh","Khanh Ha","khanh-ha","NULL",0
"nqlbkh","Nhu Quynh-Luu Bich-Khanh Ha","nhu-quynh-luu-bich-khanh-ha","NULL",0
"vl","Vu Long","vu-long","NULL",0
"udv","Ung Dai Ve","ung-dai-ve","NULL",0
"dt","Danh Thuan","danh-thuan","NULL",0
"o","OnlyC","onlyc","NULL",0
"tn","Tronie Ngo","tronie-ngo","NULL",0
"lghhr","Luong Gia Huy-Hoang Rapper","luong-gia-huy-hoang-rapper","NULL",0
"lt","Long Tu","long-tu","NULL",0
"m","Maya","maya","NULL",0
"lun","Le Uyen Nhy","le-uyen-nhy","NULL",0
"dmt","Dương Minh Tuấn","duong-minh-tuan","NULL",0
"ml","Miu Le","miu-le","NULL",0
"dt","Duc Toan","duc-toan","NULL",0
"nk","Nguyen Khoi","nguyen-khoi","NULL",0
"mlh","Mai Le Huyen","mai-le-huyen","NULL",0
"s","Shayla","shayla","NULL",0
"hth","Ha Thai Hoang","ha-thai-hoang","NULL",0
"gn","Giong Nu","giong-nu","NULL",0
"tl","Thanh Lan","thanh-lan","NULL",0
"dh","Don Ho","don-ho","NULL",0
"a","Asa","asa","NULL",0
"dvhv","Dinh Van-Hong Van","dinh-van-hong-van","NULL",0
"bvyp","Bich Van & Y Phuong","bich-van-y-phuong","NULL",0
"clqd","Cam Ly-Quoc Dai","cam-ly-quoc-dai","NULL",0
"lb","Luu Bich","luu-bich","NULL",0
"tt","Tinna Tinh","tinna-tinh","NULL",0
"tpv","Thai Phong Vu","thai-phong-vu","NULL",0
"zht","Zu Hieu Thuan","zu-hieu-thuan","NULL",0
"hcmlh","Hung Cuong & Mai Le Huyen","hung-cuong-mai-le-huyen","NULL",0
"mtdhg","Mai Tien Dung-Huong Giang","mai-tien-dung-huong-giang","NULL",0
"km","Khoi My","khoi-my","NULL",0
"lbb","Lê Bảo Bình","le-bao-binh","NULL",0
"nlnna","Nathan Lee-Nguyen Ngoc Anh","nathan-lee-nguyen-ngoc-anh","NULL",0
"pmq","Phan Manh Quynh","phan-manh-quynh","NULL",0
"nhd","Ngo Huy Dong","ngo-huy-dong","NULL",0
"hlh","Hoang Le Hai","hoang-le-hai","NULL",0
"lbt","Long Ba Thich","long-ba-thich","NULL",0
"at","Anh Thuy","anh-thuy","NULL",0
"nclc","Ninh Cat Loan Chau","ninh-cat-loan-chau","NULL",0
"mtvtv","Mai Thien Van-Truong Vu","mai-thien-van-truong-vu","NULL",0
"mdth","Minh Dung-Thu Huong","minh-dung-thu-huong","NULL",0
"tntt","Tan Nhan-Trong Tan","tan-nhan-trong-tan","NULL",0
"kp","Khanh Phuong","khanh-phuong","NULL",0
"ha","Hoang AXN","hoang-axn","NULL",0
"lbn","Lam Bao Nam","lam-bao-nam","NULL",0
"mv","Minh Vuong","minh-vuong","NULL",0
"jdmt","Johnny Dung & Minh Tuyet","johnny-dung-minh-tuyet","NULL",0
"lkctd","Lucia Kim Chi-Tuan Dat","lucia-kim-chi-tuan-dat","NULL",0
"th","Tam Ho","tam-ho","NULL",0
"a","A","a","NULL",0
"kt","Khac Trung","khac-trung","NULL",0
"st","Song Thư","song-thu","NULL",0
"nt","Ngoc Thuy","ngoc-thuy","NULL",0
"y","Yanbi","yanbi","NULL",0
"qtd","Quach Thanh Danh","quach-thanh-danh","NULL",0
"kk","Kelvin Khanh","kelvin-khanh","NULL",0
"nh","Nguyen Hau","nguyen-hau","NULL",0
"dc","Duy Cuong","duy-cuong","NULL",0
"kd","Khanh Dang","khanh-dang","NULL",0
"th","Tri Hai","tri-hai","NULL",0
"dt","Duc Thinh","duc-thinh","NULL",0
"lbh","Luu Bao Huy","luu-bao-huy","NULL",0
"koc","Karik-Only C","karik-only-c","NULL",0
"pbn","Pham Bao Nam","pham-bao-nam","NULL",0
"tc","Tien Cookie","tien-cookie","NULL",0
"ttv","Trinh Tuan Vy","trinh-tuan-vy","NULL",0
"pqauhp","Pham Quynh Anh & Ung Hoang Phuc","pham-quynh-anh-ung-hoang-phuc","NULL",0
"s","Spyder","spyder","NULL",0
"tt","Thanh Truc","thanh-truc","NULL",0
"ckp","Chau Khai Phong","chau-khai-phong","NULL",0
"huhp","HAT-Ung Hoang Phuc","hat-ung-hoang-phuc","NULL",0
"kl","Khanh Lam","khanh-lam","NULL",0
"nph","Nguyen Phi Hung","nguyen-phi-hung","NULL",0
"nk","Nhat Khang","nhat-khang","NULL",0
"lgt","Luu Gia Thang","luu-gia-thang","NULL",0
"tt","Thien Truong","thien-truong","NULL",0
"th","Trieu Hoang","trieu-hoang","NULL",0
